Country,Pred_len,Iteration,MSE,RMSE,MAE
DE,24,1,0.025507517158985138,0.15971073508262634,0.1042659804224968
DE,24,2,0.027125487104058266,0.16469816863536835,0.10410299152135849
DE,96,1,0.04111143946647644,0.20275956392288208,0.14186589419841766
DE,96,2,0.04497264325618744,0.21206754446029663,0.14488229155540466
DE,168,1,0.05564524605870247,0.23589244484901428,0.16008244454860687
DE,168,2,0.051229722797870636,0.22633983194828033,0.1569782793521881
GB,24,1,0.03368111699819565,0.18352416157722473,0.12335905432701111
GB,24,2,0.03127928450703621,0.17685949802398682,0.11696060001850128
GB,96,1,0.049356184899806976,0.22216251492500305,0.15691299736499786
GB,96,2,0.051835522055625916,0.22767415642738342,0.158115953207016
GB,168,1,0.05534675344824791,0.23525890707969666,0.1653159260749817
GB,168,2,0.06533545255661011,0.2556079924106598,0.17534701526165009
ES,24,1,0.027461538091301918,0.16571523249149323,0.09743039309978485
ES,24,2,0.019272608682513237,0.13882581889629364,0.08702108263969421
ES,96,1,0.04883919283747673,0.2209959179162979,0.1398049145936966
ES,96,2,0.05644026771187782,0.2375716120004654,0.14639423787593842
ES,168,1,0.04438893124461174,0.2106868028640747,0.13518424332141876
ES,168,2,0.060231514275074005,0.24542109668254852,0.15826410055160522
FR,24,1,0.012454495765268803,0.11159971356391907,0.06283904612064362
FR,24,2,0.01250072754919529,0.11180665343999863,0.06438585370779037
FR,96,1,0.022864822298288345,0.1512111872434616,0.09028714150190353
FR,96,2,0.022085649892687798,0.14861240983009338,0.08917967230081558
FR,168,1,0.024343758821487427,0.15602487325668335,0.09656928479671478
FR,168,2,0.024290841072797775,0.155855193734169,0.09771759808063507
IT,24,1,0.01203176286071539,0.1096893921494484,0.06421584635972977
IT,24,2,0.013082382269203663,0.11437824368476868,0.06724400073289871
IT,96,1,0.022316191345453262,0.14938604831695557,0.09133996814489365
IT,96,2,0.019260551780462265,0.13878239691257477,0.08605317771434784
IT,168,1,0.020803824067115784,0.14423531293869019,0.09436223655939102
IT,168,2,0.023398978635668755,0.15296724438667297,0.09908542037010193
