Country,Pred_len,Iteration,MSE,RMSE,MAE
DE,24,1,0.02550637163221836,0.15970714390277863,0.10258069634437561
DE,24,2,0.02397911250591278,0.15485189855098724,0.09960474073886871
DE,96,1,0.051743797957897186,0.22747263312339783,0.15091562271118164
DE,96,2,0.05006013065576553,0.22374121844768524,0.1497931331396103
DE,168,1,0.05523236468434334,0.23501567542552948,0.15854020416736603
DE,168,2,0.07423169165849686,0.2724549472332001,0.18800583481788635
GB,24,1,0.04600006341934204,0.21447625756263733,0.139682337641716
GB,24,2,0.04164503514766693,0.20407114923000336,0.1331600844860077
GB,96,1,0.07166936993598938,0.267711341381073,0.18716973066329956
GB,96,2,0.07038446515798569,0.2653007209300995,0.18352794647216797
GB,168,1,0.07857304066419601,0.2803088426589966,0.19801437854766846
GB,168,2,0.0663556382060051,0.25759586691856384,0.17620733380317688
ES,24,1,0.01995997130870819,0.14127975702285767,0.0851166620850563
ES,24,2,0.0205184668302536,0.14324268698692322,0.08598485589027405
ES,96,1,0.0471978485584259,0.21725066006183624,0.13446779549121857
ES,96,2,0.052399978041648865,0.2289104163646698,0.14182890951633453
ES,168,1,0.05317690223455429,0.23060117661952972,0.14745983481407166
ES,168,2,0.06147249788045883,0.24793647229671478,0.1534600555896759
FR,24,1,0.013226393610239029,0.11500605940818787,0.06676443666219711
FR,24,2,0.01269116997718811,0.11265509575605392,0.0649927482008934
FR,96,1,0.02255314402282238,0.15017704665660858,0.09045195579528809
FR,96,2,0.02064206637442112,0.14367346465587616,0.0864601656794548
FR,168,1,0.02322584018111229,0.15240027010440826,0.0943157970905304
FR,168,2,0.023550577461719513,0.1534619778394699,0.09461454302072525
IT,24,1,0.01098212692886591,0.10479564219713211,0.062085431069135666
IT,24,2,0.011577458120882511,0.10759859532117844,0.06382088363170624
IT,96,1,0.021881617605686188,0.14792436361312866,0.08946646004915237
IT,96,2,0.02054090052843094,0.1433209776878357,0.08876102417707443
IT,168,1,0.022526469081640244,0.15008820593357086,0.09451047331094742
IT,168,2,0.023039165884256363,0.15178658068180084,0.0932452604174614
