Country,Pred_len,Iteration,MSE,RMSE,MAE
DE,24,1,0.04909796267747879,0.2215805947780609,0.13267895579338074
DE,24,2,0.04917309060692787,0.22175006568431854,0.13261280953884125
DE,96,1,0.0683388039469719,0.2614169120788574,0.17219802737236023
DE,96,2,0.06612637639045715,0.2571505010128021,0.1696823239326477
DE,168,1,0.07290644198656082,0.27001193165779114,0.18066266179084778
DE,168,2,0.052112072706222534,0.2282806932926178,0.1556011289358139
GB,24,1,0.04548763111233711,0.21327829360961914,0.1379980891942978
GB,24,2,0.04453892633318901,0.21104247868061066,0.13716231286525726
GB,96,1,0.07188829779624939,0.2681199312210083,0.18322059512138367
GB,96,2,0.07184097915887833,0.26803168654441833,0.18231602013111115
GB,168,1,0.07741650938987732,0.2782382369041443,0.19095377624034882
GB,168,2,0.08018288761377335,0.283165842294693,0.19449250400066376
ES,24,1,0.017534807324409485,0.13241906464099884,0.08298039436340332
ES,24,2,0.018827158957719803,0.1372120976448059,0.08654488623142242
ES,96,1,0.0370580293238163,0.1925046145915985,0.12581998109817505
ES,96,2,0.04047233238816261,0.20117735862731934,0.128734290599823
ES,168,1,0.044306863099336624,0.21049195528030396,0.14131659269332886
ES,168,2,0.041544463485479355,0.20382459461688995,0.1353781819343567
FR,24,1,0.03144296631217003,0.1773216426372528,0.09200448542833328
FR,24,2,0.012801175005733967,0.11314227432012558,0.06688603013753891
FR,96,1,0.023026270791888237,0.15174409747123718,0.09046460688114166
FR,96,2,0.023136505857110023,0.1521068960428238,0.09202137589454651
FR,168,1,0.03031008318066597,0.1740979105234146,0.10755585879087448
FR,168,2,0.027565354481339455,0.16602817177772522,0.10132057219743729
IT,24,1,0.011478634551167488,0.10713838785886765,0.0656256228685379
IT,24,2,0.01116943359375,0.10568553954362869,0.06392011046409607
IT,96,1,0.020391877740621567,0.14280013740062714,0.0905703455209732
IT,96,2,0.022168276831507683,0.1488901525735855,0.09326287358999252
IT,168,1,0.021710075438022614,0.14734339714050293,0.09427983313798904
IT,168,2,0.022947147488594055,0.15148316323757172,0.09868135303258896
