Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1228456.75,1108.357666015625,708.9411010742188,0.0778869092464447
MSE,2,24,1194382.0,1092.8778076171875,695.2028198242188,0.07679910212755203
MSE,1,96,2541549.75,1594.223876953125,1034.8856201171875,0.11219204217195511
MSE,2,96,2719271.75,1649.021484375,1078.899658203125,0.11604836583137512
MSE,1,168,3073615.0,1753.1728515625,1146.7259521484375,0.12349379807710648
MSE,2,168,3200891.75,1789.1036376953125,1168.5704345703125,0.1260247677564621
MAE,1,24,1136971.75,1066.288818359375,656.8383178710938,0.07493062317371368
MAE,2,24,1138836.625,1067.162841796875,654.0407104492188,0.07499205321073532
MAE,1,96,2374954.25,1541.088623046875,972.7523803710938,0.108452707529068
MAE,2,96,2350334.25,1533.0799560546875,967.2764282226562,0.1078891009092331
MAE,1,168,2851058.5,1688.5078125,1070.8997802734375,0.11893877387046814
MAE,2,168,3054074.25,1747.5909423828125,1107.2745361328125,0.12310060858726501
