Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,16410582.0,4050.99755859375,2452.97607421875,0.2014237642288208
MSE,2,24,16438184.0,4054.403076171875,2448.48974609375,0.20159310102462769
MSE,1,96,31191604.0,5584.9443359375,3552.86279296875,0.27813223004341125
MSE,2,96,31495776.0,5612.10986328125,3599.37841796875,0.2794850766658783
MSE,1,168,34339608.0,5860.00048828125,3805.825439453125,0.29197338223457336
MSE,2,168,34692824.0,5890.0615234375,3834.89208984375,0.29347115755081177
MAE,1,24,16238499.0,4029.7021484375,2347.381103515625,0.20036490261554718
MAE,2,24,16319235.0,4039.707275390625,2364.401123046875,0.20086239278316498
MAE,1,96,31829424.0,5641.75732421875,3474.244140625,0.2809615433216095
MAE,2,96,32093164.0,5665.0830078125,3500.149658203125,0.2821231484413147
MAE,1,168,34746828.0,5894.64404296875,3705.5087890625,0.2936994731426239
MAE,2,168,35872592.0,5989.373046875,3699.549072265625,0.29841935634613037
