Country,Pred_len,Column,MSE,RMSE,MAE
DE,24,load,0.0176,0.1328,0.0869
DE,24,solar,0.008,0.0896,0.0433
DE,24,wind,0.0419,0.2046,0.1504
DE,24,wind_offshore,0.1273,0.3567,0.2717
DE,24,wind_onshore,0.0388,0.197,0.1413
DE,96,load,0.0419,0.2046,0.1614
DE,96,solar,0.0162,0.1274,0.0641
DE,96,wind,0.078,0.2792,0.2165
DE,96,wind_offshore,0.1822,0.4269,0.341
DE,96,wind_onshore,0.0722,0.2688,0.2016
DE,168,load,0.0048,0.0696,0.0421
DE,168,solar,0.0189,0.1374,0.0708
DE,168,wind,0.0792,0.2813,0.212
DE,168,wind_offshore,0.1668,0.4084,0.3248
DE,168,wind_onshore,0.0744,0.2728,0.2007
ES,24,load,0.0105,0.1024,0.066
ES,24,solar,0.0197,0.1405,0.0775
ES,24,wind_onshore,0.032,0.1789,0.1395
ES,96,load,0.0247,0.1572,0.1201
ES,96,solar,0.0364,0.1907,0.1081
ES,96,wind_onshore,0.0586,0.2421,0.1893
ES,168,load,0.0044,0.066,0.0487
ES,168,solar,0.0452,0.2125,0.1213
ES,168,wind_onshore,0.0643,0.2536,0.2014
FR,24,load,0.0036,0.0601,0.041
FR,24,solar,0.0076,0.0871,0.0432
FR,24,wind_onshore,0.0484,0.22,0.1559
FR,96,load,0.0102,0.1008,0.0791
FR,96,solar,0.0166,0.1289,0.0672
FR,96,wind_onshore,0.093,0.305,0.2288
FR,168,load,0.0041,0.0641,0.0427
FR,168,solar,0.0191,0.1382,0.071
FR,168,wind_onshore,0.082,0.2863,0.2105
GB,24,load,0.0031,0.056,0.0381
GB,24,solar,0.0101,0.1003,0.0503
GB,24,wind,0.0686,0.262,0.199
GB,24,wind_offshore,0.1344,0.3667,0.2757
GB,24,wind_onshore,0.044,0.2097,0.1594
GB,96,load,0.0057,0.0755,0.0562
GB,96,solar,0.0173,0.1316,0.0671
GB,96,wind,0.1161,0.3407,0.2723
GB,96,wind_offshore,0.2118,0.4603,0.3623
GB,96,wind_onshore,0.0724,0.269,0.213
GB,168,load,0.003,0.0552,0.0397
GB,168,solar,0.0201,0.1419,0.0741
GB,168,wind,0.1075,0.3279,0.2596
GB,168,wind_offshore,0.2053,0.4532,0.3543
GB,168,wind_onshore,0.0657,0.2564,0.2001
IT,24,load,0.0155,0.1245,0.0776
IT,24,solar,0.0061,0.078,0.0371
IT,24,wind_onshore,0.0526,0.2294,0.1752
IT,96,load,0.0367,0.1917,0.1443
IT,96,solar,0.0109,0.1042,0.0496
IT,96,wind_onshore,0.0872,0.2954,0.229
IT,168,load,0.0058,0.0763,0.0505
IT,168,solar,0.0116,0.1077,0.0532
IT,168,wind_onshore,0.0822,0.2866,0.2238
