Country,Pred_len,Column,MAE,MSE,RMSE
DE,24,load,0.0869,0.0176,0.1328
DE,24,solar,0.0433,0.008,0.0896
DE,24,wind,0.1504,0.0419,0.2046
DE,24,wind_offshore,0.2717,0.1273,0.3567
DE,24,wind_onshore,0.1413,0.0388,0.197
DE,96,load,0.1614,0.0419,0.2046
DE,96,solar,0.0641,0.0162,0.1274
DE,96,wind,0.2165,0.078,0.2792
DE,96,wind_offshore,0.341,0.1822,0.4269
DE,96,wind_onshore,0.2016,0.0722,0.2688
DE,168,load,0.0421,0.0048,0.0696
DE,168,solar,0.0708,0.0189,0.1374
DE,168,wind,0.212,0.0792,0.2813
DE,168,wind_offshore,0.3248,0.1668,0.4084
DE,168,wind_onshore,0.2007,0.0744,0.2728
ES,24,load,0.066,0.0105,0.1024
ES,24,solar,0.0775,0.0197,0.1405
ES,24,wind_onshore,0.1395,0.032,0.1789
ES,96,load,0.1201,0.0247,0.1572
ES,96,solar,0.1081,0.0364,0.1907
ES,96,wind_onshore,0.1893,0.0586,0.2421
ES,168,load,0.0487,0.0044,0.066
ES,168,solar,0.1213,0.0452,0.2125
ES,168,wind_onshore,0.2014,0.0643,0.2536
FR,24,load,0.041,0.0036,0.0601
FR,24,solar,0.0432,0.0076,0.0871
FR,24,wind_onshore,0.1559,0.0484,0.22
FR,96,load,0.0791,0.0102,0.1008
FR,96,solar,0.0672,0.0166,0.1289
FR,96,wind_onshore,0.2288,0.093,0.305
FR,168,load,0.0427,0.0041,0.0641
FR,168,solar,0.071,0.0191,0.1382
FR,168,wind_onshore,0.2105,0.082,0.2863
GB,24,load,0.0381,0.0031,0.056
GB,24,solar,0.0503,0.0101,0.1003
GB,24,wind,0.199,0.0686,0.262
GB,24,wind_offshore,0.2757,0.1344,0.3667
GB,24,wind_onshore,0.1594,0.044,0.2097
GB,96,load,0.0562,0.0057,0.0755
GB,96,solar,0.0671,0.0173,0.1316
GB,96,wind,0.2723,0.1161,0.3407
GB,96,wind_offshore,0.3623,0.2118,0.4603
GB,96,wind_onshore,0.213,0.0724,0.269
GB,168,load,0.0397,0.003,0.0552
GB,168,solar,0.0741,0.0201,0.1419
GB,168,wind,0.2596,0.1075,0.3279
GB,168,wind_offshore,0.3543,0.2053,0.4532
GB,168,wind_onshore,0.2001,0.0657,0.2564
IT,24,load,0.0776,0.0155,0.1245
IT,24,solar,0.0371,0.0061,0.078
IT,24,wind_onshore,0.1752,0.0526,0.2294
IT,96,load,0.1443,0.0367,0.1917
IT,96,solar,0.0496,0.0109,0.1042
IT,96,wind_onshore,0.229,0.0872,0.2954
IT,168,load,0.0505,0.0058,0.0763
IT,168,solar,0.0532,0.0116,0.1077
IT,168,wind_onshore,0.2238,0.0822,0.2866
