Model,,Self-supervised,Self-supervised,Self-supervised
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.020822966,0.14430165,0.09215491
DE,96,0.035156,0.18749933,0.13024187
DE,168,0.03699426,0.19233891,0.13587674
GB,24,0.024802143,0.15748696,0.10473152
GB,96,0.04018368,0.20045868,0.14173558
GB,168,0.042731274,0.20671543,0.14780371
ES,24,0.009499148,0.09746357,0.060422607
ES,96,0.018078163,0.13445505,0.08884182
ES,168,0.020413268,0.14287502,0.09479445
FR,24,0.009687313,0.09842415,0.055723738
FR,96,0.018661331,0.13660648,0.082016654
FR,168,0.0209026,0.14457731,0.090963185
IT,24,0.009829139,0.099142015,0.05909648
IT,96,0.017775299,0.13332404,0.082325324
IT,168,0.019134037,0.13832584,0.08790398
