Model,,Self-supervised,Self-supervised,Self-supervised
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021122973,0.14533745,0.08827506
DE,96,0.036566958,0.19122489,0.12688467
DE,168,0.039372537,0.19842514,0.13356948
GB,24,0.024512038,0.15656321,0.09983117
GB,96,0.04189668,0.20468678,0.14022176
GB,168,0.04310584,0.20761946,0.14424649
ES,24,0.009424369,0.09707919,0.057880163
ES,96,0.01816612,0.13478175,0.084764615
ES,168,0.020773103,0.14412877,0.09185072
FR,24,0.00987313,0.099363625,0.053023025
FR,96,0.019758778,0.14056592,0.07920524
FR,168,0.022089543,0.14862551,0.08606031
IT,24,0.00995004,0.099749885,0.056406565
IT,96,0.01814586,0.13470657,0.07888919
IT,168,0.019644476,0.14015876,0.08383012
