Model,,Self-supervised,Self-supervised,Self-supervised
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.020945365,0.14472513,0.08846258
DE,96,0.03802273,0.19499418,0.12938812
DE,168,0.038993217,0.197467,0.13397968
GB,24,0.024941675,0.15792933,0.101136155
GB,96,0.041402284,0.2034755,0.13993865
GB,168,0.044377994,0.21066085,0.14615728
ES,24,0.009514269,0.097541116,0.05897444
ES,96,0.018434362,0.1357732,0.08718737
ES,168,0.020929769,0.14467125,0.093928106
FR,24,0.009786863,0.09892858,0.053609
FR,96,0.018941514,0.13762817,0.0792506
FR,168,0.021002127,0.14492111,0.0858856
IT,24,0.010129553,0.10064568,0.05717891
IT,96,0.018198341,0.13490123,0.08025257
IT,168,0.019795334,0.14069588,0.08525881
