Model,,PatchTST/42,PatchTST/42,PatchTST/42
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.020819105207920074,0.14428827166557312,0.09108439832925797
DE,96,0.03566562011837959,0.1888534426689148,0.12909182906150818
DE,168,0.03831901401281357,0.19575242698192596,0.13659459352493286
GB,24,0.025075480341911316,0.15835238993167877,0.10364750027656555
GB,96,0.042326126247644424,0.20573315024375916,0.14367079734802246
GB,168,0.045436594635248184,0.21315860748291016,0.1511395126581192
ES,24,0.00973209086805582,0.09865135699510574,0.060730285942554474
ES,96,0.01819109171628952,0.1348743587732315,0.08794556558132172
ES,168,0.0201941579580307,0.14210614562034607,0.09476298838853836
FR,24,0.010045873932540417,0.10022910684347153,0.058125320822000504
FR,96,0.01865600049495697,0.1365869641304016,0.0842278003692627
FR,168,0.020565837621688843,0.143407940864563,0.0905294120311737
IT,24,0.009963399730622768,0.09981682896614075,0.058140531182289124
IT,96,0.01784895919263363,0.13359999656677246,0.08161764591932297
IT,168,0.019755041226744652,0.14055262506008148,0.08749067783355713
