Model,,PatchTST/21,PatchTST/21,PatchTST/21
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.020951194688677788,0.14474527537822723,0.09142162650823593
DE,96,0.036573249846696854,0.1912413388490677,0.12977558374404907
DE,168,0.0406184159219265,0.20154011249542236,0.13821378350257874
GB,24,0.02521873079240322,0.1588040590286255,0.10287422686815262
GB,96,0.0446208193898201,0.2112364023923874,0.14619070291519165
GB,168,0.04776432737708092,0.21855051815509796,0.1530516892671585
ES,24,0.009751889854669571,0.09875165671110153,0.06079358235001564
ES,96,0.018809732049703598,0.13714857399463654,0.08826389908790588
ES,168,0.021138742566108704,0.14539168775081635,0.0951080247759819
FR,24,0.009941143915057182,0.0997052863240242,0.056643787771463394
FR,96,0.018575744703412056,0.13629285991191864,0.08204299211502075
FR,168,0.020324300974607468,0.1425633281469345,0.08861789107322693
IT,24,0.009891098365187645,0.09945400059223175,0.05819772183895111
IT,96,0.01729476824402809,0.13150957226753235,0.07975035905838013
IT,168,0.018904151394963264,0.137492373585701,0.08580073714256287
