Model,,CM,CM,CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02148619992658496,0.14657704159617424,0.09023036062717438
DE,96,0.03919893130660057,0.19783711433410645,0.1303369738161564
DE,168,0.04183045029640198,0.20429401844739914,0.13704181462526321
ES,24,0.010876873042434454,0.10416909866034985,0.06543621327728033
ES,96,0.0210694489069283,0.14495554938912392,0.09603658691048622
ES,168,0.024872393812984228,0.157209150493145,0.10517576895654202
FR,24,0.010523713892325759,0.10256391763687134,0.057954976335167885
FR,96,0.020146075636148453,0.14189154282212257,0.08280105888843536
FR,168,0.02246056031435728,0.14979934319853783,0.08834595791995525
GB,24,0.026470748241990805,0.1626354306936264,0.10369264520704746
GB,96,0.04294470604509115,0.20715764164924622,0.14203635975718498
GB,168,0.045383039861917496,0.21301677450537682,0.14860405027866364
IT,24,0.010416369419544935,0.10204653069376945,0.05944759026169777
IT,96,0.018792281858623028,0.13708001747727394,0.0832112468779087
IT,168,0.020315836183726788,0.14251679182052612,0.08798468671739101
