Model,,Decomposition,Decomposition,Decomposition
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02150993188843131,0.14665832743048668,0.09056205209344625
DE,96,0.03897880297154188,0.19725539162755013,0.13003047555685043
DE,168,0.04172723786905408,0.20403006300330162,0.13691455125808716
ES,24,0.010898058069869876,0.10427574533969164,0.06555756134912372
ES,96,0.02100848639383912,0.1447343211621046,0.09601081255823374
ES,168,0.024916453985497355,0.15736092813313007,0.105388761498034
FR,24,0.010515827569179237,0.10252465773373842,0.05795897962525487
FR,96,0.019991878420114517,0.14132950082421303,0.0828087655827403
FR,168,0.022196663543581963,0.1488795094192028,0.08807614166289568
GB,24,0.026618990348652005,0.16310002654790878,0.10424396302551031
GB,96,0.04333203425630927,0.20810013636946678,0.14266999438405037
GB,168,0.045350581407547,0.21293850615620613,0.1486123576760292
IT,24,0.010466040577739477,0.10229281336069107,0.05960097070783377
IT,96,0.018484101397916675,0.1359466351568699,0.08290966600179672
IT,168,0.019907831447198987,0.1410764567553997,0.08755934238433838
