Model,,-RevIN,-RevIN,-RevIN
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02182687260210514,0.14773908257484436,0.09213243797421455
DE,96,0.04212478920817375,0.20521938800811768,0.1341118887066841
DE,168,0.04514040797948837,0.2123219519853592,0.14072372019290924
ES,24,0.01193016767501831,0.10922424867749214,0.07102757319808006
ES,96,0.02322240825742483,0.1523784101009369,0.10374551266431808
ES,168,0.028755166567862034,0.16954050213098526,0.11559515073895454
FR,24,0.01094745984300971,0.1046292632818222,0.06036504544317722
FR,96,0.02116168476641178,0.14547019451856613,0.08506999164819717
FR,168,0.023813186213374138,0.1543130725622177,0.0906289778649807
GB,24,0.027785646729171276,0.16666515171527863,0.10749192163348198
GB,96,0.044440075755119324,0.21072517335414886,0.14528724551200867
GB,168,0.046473875641822815,0.21557793766260147,0.1511387825012207
IT,24,0.010761687997728586,0.10373850166797638,0.06156621128320694
IT,96,0.0184776084497571,0.13593215495347977,0.08387179672718048
IT,168,0.019745741970837116,0.14051393419504166,0.0881008617579937
