Model,,PatchTST/64,PatchTST/64,PatchTST/64
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02115515060722828,0.14544810354709625,0.08832915872335434
DE,96,0.03631490282714367,0.19056467711925507,0.1267014443874359
DE,168,0.03853980638086796,0.19631488621234894,0.13329210132360458
ES,24,0.009819370228797197,0.09909272938966751,0.059828704223036766
ES,96,0.01871943473815918,0.13681844621896744,0.08815138041973114
ES,168,0.02101742196828127,0.14497363567352295,0.09465961530804634
FR,24,0.010098413098603487,0.10049081593751907,0.05554143525660038
FR,96,0.01929683703929186,0.13890808075666428,0.08092427998781204
FR,168,0.021242485381662846,0.14574792236089706,0.08651002869009972
GB,24,0.025139959529042244,0.15855558216571808,0.09994228556752205
GB,96,0.04135508835315704,0.20335911214351654,0.1386893317103386
GB,168,0.04426294378936291,0.21038362383842468,0.14602895081043243
IT,24,0.010073980316519737,0.10036909580230713,0.05732694827020168
IT,96,0.018696246668696404,0.13673291355371475,0.0817619077861309
IT,168,0.021017597056925297,0.1449722871184349,0.08811650052666664
