Model,,PatchTST,PatchTST,PatchTST
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.0217,0.1473,0.0891
DE,96,0.03665,0.1915,0.1276
DE,168,0.039150000000000004,0.19795000000000001,0.134
ES,24,0.009850000000000001,0.0993,0.0597
ES,96,0.019299999999999998,0.1389,0.08915000000000001
ES,168,0.02175,0.1475,0.0959
FR,24,0.010450000000000001,0.1021,0.056
FR,96,0.019450000000000002,0.1394,0.0821
FR,168,0.021699999999999997,0.14734999999999998,0.08795
GB,24,0.0251,0.15855000000000002,0.1004
GB,96,0.042050000000000004,0.20505,0.14035
GB,168,0.044899999999999995,0.21195,0.14675
IT,24,0.01035,0.10175000000000001,0.05745
IT,96,0.0191,0.13815,0.08275
IT,168,0.021449999999999997,0.14645000000000002,0.08935
