Model,,CM,CM,CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021534106228500605,0.1467355415225029,0.09039242751896381
DE,96,0.03939722664654255,0.1984160915017128,0.13076342642307281
DE,168,0.04234093427658081,0.20567181706428528,0.13804364204406738
ES,24,0.015094318427145481,0.12099113687872887,0.07211431208997965
ES,96,0.024428135715425014,0.15505728498101234,0.10000026784837246
ES,168,0.02516216365620494,0.15804138779640198,0.10467392764985561
FR,24,0.010666634887456894,0.10324906371533871,0.05874856747686863
FR,96,0.0199939776211977,0.14137383177876472,0.08304097689688206
FR,168,0.022413439117372036,0.14957111328840256,0.08901668526232243
GB,24,0.027026417199522257,0.1643162965774536,0.10419827699661255
GB,96,0.04800250940024853,0.21878129243850708,0.14709997177124023
GB,168,0.05030539818108082,0.22405853867530823,0.15292463079094887
IT,24,0.010656865080818534,0.10320847108960152,0.060167151503264904
IT,96,0.01850536186248064,0.13603433966636658,0.082462964579463
IT,168,0.020345176104456186,0.14262648671865463,0.08797832205891609
