Model,,CM,CM,CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02336770109832287,0.1528649777173996,0.1005844995379448
DE,96,0.04425235465168953,0.21036243438720703,0.14291603863239288
DE,168,0.0436178483068943,0.20884886384010315,0.1491432934999466
ES,24,0.01157116424292326,0.10756934434175491,0.06930112838745117
ES,96,0.020839489996433258,0.14435888826847076,0.09703951328992844
ES,168,0.02287455089390278,0.15124334394931793,0.10218845307826996
GB,24,0.026552753522992134,0.16295015811920166,0.10944870114326477
GB,96,0.0463920496404171,0.21538813412189484,0.1513613760471344
GB,168,0.04944076016545296,0.2223527878522873,0.15743298828601837
