Model,,CM,CM,CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.025466015562415123,0.1595807522535324,0.10604768246412277
DE,96,0.03814338520169258,0.1953033208847046,0.13842742145061493
DE,168,0.04002630338072777,0.2000657469034195,0.14279745519161224
ES,24,0.011405767872929573,0.10679779201745987,0.06919430196285248
ES,96,0.020655285567045212,0.14371946454048157,0.0965302586555481
ES,168,0.02290712110698223,0.1513509899377823,0.10324922204017639
FR,24,0.011004881002008915,0.10490415245294571,0.06105313077569008
FR,96,0.019118474796414375,0.1382695734500885,0.08493250608444214
FR,168,0.01995600387454033,0.14126572012901306,0.08893339335918427
GB,24,0.028581099584698677,0.16905945539474487,0.11745379865169525
GB,96,0.04279341548681259,0.20686569809913635,0.14713023602962494
GB,168,0.045004863291978836,0.21214349567890167,0.15204809606075287
IT,24,0.010666660964488983,0.10327953100204468,0.0619974210858345
IT,96,0.01881682500243187,0.13717442750930786,0.08598846942186356
IT,168,0.019830867648124695,0.14082211256027222,0.09015556424856186
