Model,,- RevIn & CM,- RevIn & CM,- RevIn & CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021340683102607727,0.14608396589756012,0.09353423863649368
DE,96,0.037996331229805946,0.1948823779821396,0.1346883848309517
DE,168,0.04524226859211922,0.21264593303203583,0.14634831994771957
ES,24,0.018088524229824543,0.13429195433855057,0.08360131829977036
ES,96,0.05191755294799805,0.22438494861125946,0.1450517177581787
ES,168,0.05145012214779854,0.2257632091641426,0.1466042771935463
FR,24,0.01387418806552887,0.11778869852423668,0.06650079414248466
FR,96,0.02534166257828474,0.15916375815868378,0.09231594204902649
FR,168,0.028436243534088135,0.1686236411333084,0.09984713047742844
GB,24,0.027119788341224194,0.16463448852300644,0.10605869442224503
GB,96,0.05012514069676399,0.22386636584997177,0.15185436606407166
GB,168,0.05425664968788624,0.23287173360586166,0.15619172900915146
IT,24,0.010563823394477367,0.10278021916747093,0.061174072325229645
IT,96,0.021207847632467747,0.1456059291958809,0.09029044955968857
IT,168,0.022135931998491287,0.1487770974636078,0.09375376626849174
