Model,,Decomposition,Decomposition,Decomposition
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02126377262175083,0.1458209976553917,0.08907932043075562
DE,96,0.03559321537613869,0.18865924328565598,0.12537440657615662
DE,168,0.03800713084638119,0.19495368748903275,0.13242225348949432
ES,24,0.009815647266805172,0.09907393902540207,0.05951278656721115
ES,96,0.01861534919589758,0.1364380642771721,0.08681349456310272
ES,168,0.021184383891522884,0.1455482915043831,0.09531861916184425
FR,24,0.009900435339659452,0.09950056672096252,0.054228806868195534
FR,96,0.01918528415262699,0.13850919157266617,0.0795370526611805
FR,168,0.02069384604692459,0.14385316520929337,0.085735984146595
GB,24,0.025705259293317795,0.16032859683036804,0.10230835527181625
GB,96,0.044223811477422714,0.2102586254477501,0.14282795041799545
GB,168,0.0446938369423151,0.21139585226774216,0.1467939391732216
IT,24,0.010106324683874846,0.10053016990423203,0.05691506899893284
IT,96,0.018317686393857002,0.13534284383058548,0.07956519350409508
IT,168,0.019932574592530727,0.14118263870477676,0.08523862808942795
