Model,,-RevIN + Decomposition ,-RevIN + Decomposition ,-RevIN + Decomposition 
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.022204424254596233,0.1489931084215641,0.09291091375052929
DE,96,0.04013082571327686,0.20013244450092316,0.1328619159758091
DE,168,0.04336742032319307,0.20799516513943672,0.1402926854789257
ES,24,0.02079385076649487,0.1388798952102661,0.08065652847290039
ES,96,0.03260448342189193,0.17622580006718636,0.10831876285374165
ES,168,0.03785840980708599,0.18939094990491867,0.1180009488016367
FR,24,0.012148363050073385,0.10980629548430443,0.06256782449781895
FR,96,0.023706338368356228,0.15334446355700493,0.09007160365581512
FR,168,0.02674770960584283,0.16277818754315376,0.09719607792794704
GB,24,0.026801843661814928,0.1636870987713337,0.10580025240778923
GB,96,0.048036932945251465,0.2190077193081379,0.14959269389510155
GB,168,0.05084092542529106,0.2251851037144661,0.1545877307653427
IT,24,0.011356665519997478,0.10644273087382317,0.06327428016811609
IT,96,0.019757042173296213,0.14048951491713524,0.08523864112794399
IT,168,0.02157132513821125,0.14676253497600555,0.09023471176624298
