Country,Pred_len,Iteration,MSE,RMSE,MAE
DE,24,1,0.02123691514134407,0.1457289159297943,0.08800116926431656
DE,24,2,0.021368710324168205,0.1461804062128067,0.0884462371468544
DE,96,1,0.037448711693286896,0.19351670145988464,0.12783744931221008
DE,96,2,0.03720075637102127,0.1928749829530716,0.12784941494464874
DE,168,1,0.03956473246216774,0.19890885055065155,0.13480480015277863
DE,168,2,0.04043840616941452,0.20109303295612335,0.13454587757587433
GB,24,1,0.025839844718575478,0.16074776649475098,0.10110020637512207
GB,24,2,0.025651993229985237,0.16016238927841187,0.10084773600101471
GB,96,1,0.0435645654797554,0.20872126519680023,0.14204047620296478
GB,96,2,0.04207837954163551,0.20513015985488892,0.13995878398418427
GB,168,1,0.04603716358542442,0.21456272900104523,0.14872154593467712
GB,168,2,0.04706449806690216,0.21694353222846985,0.1488942801952362
ES,24,1,0.009801904670894146,0.09900456666946411,0.059209056198596954
ES,24,2,0.009838948026299477,0.09919147193431854,0.05943939834833145
ES,96,1,0.018858829513192177,0.13732744753360748,0.08823089301586151
ES,96,2,0.01892421580851078,0.13756531476974487,0.08770454674959183
ES,168,1,0.021464090794324875,0.14650627970695496,0.09418019652366638
ES,168,2,0.021445224061608315,0.14644187688827515,0.0944785475730896
FR,24,1,0.010282979346811771,0.10140502452850342,0.05526231601834297
FR,24,2,0.010431979782879353,0.10213706642389297,0.055599164217710495
FR,96,1,0.0192331001162529,0.13868345320224762,0.08146935701370239
FR,96,2,0.019465206190943718,0.13951776921749115,0.08186264336109161
FR,168,1,0.02135390229523182,0.14612974226474762,0.08782835304737091
FR,168,2,0.021182971075177193,0.14554370939731598,0.08733805269002914
IT,24,1,0.010154441930353642,0.10076925158500671,0.05643478408455849
IT,24,2,0.010180042125284672,0.1008961945772171,0.056451667100191116
IT,96,1,0.01871649920940399,0.13680826127529144,0.08084283769130707
IT,96,2,0.018979672342538834,0.1377667337656021,0.08104903250932693
IT,168,1,0.02112378552556038,0.145340234041214,0.0873328149318695
IT,168,2,0.020908666774630547,0.14459829032421112,0.08779238164424896
