Model,,-RevIN,-RevIN,-RevIN
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021826231852173805,0.14773677289485931,0.09176940843462944
DE,96,0.04052277095615864,0.20129872113466263,0.13269910216331482
DE,168,0.04374442435801029,0.20915167033672333,0.1401023045182228
ES,24,0.01277154590934515,0.1130092516541481,0.07313020154833794
ES,96,0.024930180050432682,0.15785180032253265,0.10546991974115372
ES,168,0.03110572975128889,0.17635807394981384,0.11668037250638008
FR,24,0.010725985281169415,0.10356620699167252,0.05998745374381542
FR,96,0.01958510745316744,0.13994672894477844,0.08228406310081482
FR,168,0.024294218979775906,0.15583005547523499,0.09035100787878036
GB,24,0.0261251088231802,0.16163263469934464,0.10443535074591637
GB,96,0.04595349356532097,0.2143670618534088,0.14766155928373337
GB,168,0.04938652738928795,0.22223064303398132,0.1536918431520462
IT,24,0.010702480562031269,0.10345276072621346,0.06105917505919933
IT,96,0.018729264847934246,0.13685446977615356,0.08350970596075058
IT,168,0.020242515951395035,0.14226970076560974,0.08772534877061844
