Model,,PatchTST_p12_s12,PatchTST_p12_s12,PatchTST_p12_s12
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.020789037458598614,0.14418403059244156,0.08741535246372223
DE,96,0.03534328006207943,0.18799582868814468,0.12435680255293846
DE,168,0.03844914771616459,0.19608453661203384,0.13225193321704865
ES,24,0.009769828990101814,0.09884229674935341,0.05967896245419979
ES,96,0.018396565690636635,0.13563386350870132,0.08602239936590195
ES,168,0.02050726395100355,0.14320345222949982,0.0918392762541771
FR,24,0.009962777141481638,0.09981365874409676,0.054937686771154404
FR,96,0.019384723156690598,0.139228954911232,0.07951431721448898
FR,168,0.021108183078467846,0.14528648555278778,0.08546830713748932
GB,24,0.024541400372982025,0.15665695071220398,0.09907836839556694
GB,96,0.040988875553011894,0.20245706290006638,0.13831236213445663
GB,168,0.04351629689335823,0.20860542356967926,0.14471372961997986
IT,24,0.010150216054171324,0.10074825957417488,0.057240989059209824
IT,96,0.01807104144245386,0.13442807644605637,0.07918041944503784
IT,168,0.019303971901535988,0.13893866539001465,0.08364896848797798
