Model,,TimeLLM,TimeLLM,TimeLLM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021544765681028366,0.14678135514259338,0.09620458632707596
DE,96,0.0346515066921711,0.18614915013313293,0.12807267904281616
DE,168,0.03746809437870979,0.19356676936149597,0.1385875940322876
GB,24,0.02595963142812252,0.16111992299556732,0.10740001499652863
GB,96,0.04068015143275261,0.20169320702552795,0.14278638362884521
GB,168,0.043486617505550385,0.20853444933891296,0.14944525063037872
ES,24,0.010894566774368286,0.10437703877687454,0.0666496753692627
ES,96,0.02007182687520981,0.14167506992816925,0.09592236578464508
ES,168,0.021907182410359383,0.1480107456445694,0.10050459951162338
FR,24,0.010344491340219975,0.10170787572860718,0.0594850592315197
FR,96,0.0196530781686306,0.14018943905830383,0.08574584871530533
FR,168,0.02125428430736065,0.14578849077224731,0.09115074574947357
IT,24,0.01045023463666439,0.1022263914346695,0.06180146336555481
IT,96,0.01832490973174572,0.13536952435970306,0.08470133692026138
IT,168,0.01952982507646084,0.13974915444850922,0.08981484919786453
