Model,,TimeLLM,TimeLLM,TimeLLM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02172875590622425,0.14740677177906036,0.0919589027762413
DE,96,0.039549555629491806,0.1988707035779953,0.13238517940044403
DE,168,0.039509814232587814,0.19877076148986816,0.13483189046382904
GB,24,0.025205422192811966,0.1587621569633484,0.10119861364364624
GB,96,0.0437089167535305,0.20906677842140198,0.143436998128891
GB,168,0.04692179709672928,0.21661439538002014,0.14865338802337646
ES,24,0.0108054019510746,0.10394903272390366,0.06720664352178574
ES,96,0.019848739728331566,0.14088556170463562,0.09410795569419861
ES,168,0.021669914945960045,0.14720705151557922,0.09701256453990936
FR,24,0.010352413170039654,0.1017468124628067,0.058582987636327744
FR,96,0.018618784844875336,0.1364506632089615,0.08242722600698471
FR,168,0.020460350438952446,0.14303968846797943,0.08778193593025208
IT,24,0.010438021272420883,0.10216663777828217,0.060708094388246536
IT,96,0.01877460442483425,0.13702045381069183,0.08392173796892166
IT,168,0.02039830945432186,0.14282265305519104,0.0891893059015274
