Model,,Informer,Informer,Informer
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.025697067379951477,0.16028974950313568,0.10276605933904648
DE,96,0.042678140103816986,0.2065567448735237,0.14328275620937347
DE,168,0.05034959316253662,0.22430800646543503,0.15449801832437515
ES,24,0.0266630370169878,0.16318731755018234,0.09774209186434746
ES,96,0.060766180977225304,0.24649281799793243,0.1540016531944275
ES,168,0.05499900318682194,0.23434308916330338,0.14945656806230545
FR,24,0.012964782770723104,0.11385970935225487,0.0646759681403637
FR,96,0.02224702015519142,0.14912322908639908,0.09072177484631538
FR,168,0.023922709748148918,0.154668428003788,0.09713707864284515
GB,24,0.036581757478415966,0.19025228172540665,0.12419745326042175
GB,96,0.055737368762493134,0.23605719953775406,0.16297098994255066
GB,168,0.056970732286572456,0.2386009395122528,0.16607169061899185
IT,24,0.012155869510024786,0.11024576053023338,0.06458304449915886
IT,96,0.021089661866426468,0.14513474702835083,0.08975674211978912
IT,168,0.021962336264550686,0.14818943291902542,0.09365394711494446
