Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1205259.875,1097.84326171875,717.048095703125,0.07714803516864777
MSE,2,24,1178370.25,1085.527587890625,706.22900390625,0.07628258317708969
MSE,1,96,2492006.0,1578.60888671875,1051.84912109375,0.11109315603971481
MSE,2,96,2693139.25,1641.0787353515625,1101.3221435546875,0.1154894083738327
MSE,1,168,3082198.25,1755.6190185546875,1179.6866455078125,0.12366610765457153
MSE,2,168,3154101.0,1775.9788818359375,1187.391357421875,0.1251002550125122
MAE,1,24,1151100.125,1072.893310546875,668.9365234375,0.07539474219083786
MAE,2,24,1154194.75,1074.3345947265625,667.5917358398438,0.07549601793289185
MAE,1,96,2383695.25,1543.9219970703125,980.0679931640625,0.10865209996700287
MAE,2,96,2395718.25,1547.810791015625,982.5762329101562,0.10892577469348907
MAE,1,168,3020437.25,1737.9405517578125,1113.3966064453125,0.12242083251476288
MAE,2,168,2837935.75,1684.617431640625,1074.3492431640625,0.11866474151611328
