Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,16458542.0,4056.912841796875,2476.096435546875,0.20171788334846497
MSE,2,24,16442007.0,4054.87451171875,2471.834228515625,0.20161652565002441
MSE,1,96,32124580.0,5667.85498046875,3648.32373046875,0.2822612226009369
MSE,2,96,31628942.0,5623.96142578125,3646.1298828125,0.2800752818584442
MSE,1,168,34333700.0,5859.49658203125,3841.31005859375,0.2919482886791229
MSE,2,168,35108288.0,5925.224609375,3900.470947265625,0.2952231466770172
MAE,1,24,16317905.0,4039.542724609375,2366.62255859375,0.20085419714450836
MAE,2,24,16410974.0,4051.046142578125,2383.52294921875,0.2014261782169342
MAE,1,96,32427548.0,5694.51904296875,3520.055908203125,0.28358909487724304
MAE,2,96,32485964.0,5699.64599609375,3545.96728515625,0.2838444113731384
MAE,1,168,35343512.0,5945.041015625,3735.31787109375,0.29621049761772156
MAE,2,168,36740496.0,6061.39404296875,3751.04296875,0.3020077645778656
