Model,,Persistence,Persistence,Persistence
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.04672,0.19614,0.13872
DE,96,0.0781,0.26138,0.19692
DE,168,0.06881999999999999,0.2339,0.17007999999999998
ES,24,0.020733333333333333,0.1406,0.09433333333333334
ES,96,0.0399,0.19666666666666668,0.13916666666666666
ES,168,0.03796666666666667,0.17736666666666667,0.12379999999999998
FR,24,0.019866666666666668,0.1224,0.08003333333333333
FR,96,0.039933333333333335,0.17823333333333333,0.12503333333333333
FR,168,0.03506666666666667,0.16286666666666666,0.10806666666666666
GB,24,0.052039999999999996,0.19894,0.14450000000000002
GB,96,0.08466,0.25542,0.19418
GB,168,0.08032,0.24691999999999997,0.18556
IT,24,0.024733333333333333,0.14396666666666666,0.09663333333333333
IT,96,0.04493333333333333,0.19709999999999997,0.14096666666666668
IT,168,0.0332,0.15686666666666668,0.10916666666666668
