Model,,Self-supervised,Self-supervised,Self-supervised
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021040574,0.1450537,0.08833712
DE,96,0.035324693,0.18794864,0.12619255
DE,168,0.03793704,0.19477433,0.13143772
GB,24,0.024682993,0.15710822,0.10014961
GB,96,0.041162055,0.20288435,0.13904372
GB,168,0.04315317,0.20773341,0.14484137
ES,24,0.009623636,0.09810013,0.05954538
ES,96,0.018682173,0.13668275,0.08647464
ES,168,0.02141707,0.14634572,0.09402808
FR,24,0.009975348,0.099876665,0.054708764
FR,96,0.019719185,0.14042501,0.0808786
FR,168,0.021768438,0.14754131,0.087232165
IT,24,0.010212783,0.10105831,0.0581181
IT,96,0.01917157,0.13846144,0.08216856
IT,168,0.020497167,0.14316832,0.08738728
