Model,,PatchTST/42,PatchTST/42,PatchTST/42
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02096705697476864,0.14480002969503403,0.08770443499088287
DE,96,0.03768196515738964,0.1941169649362564,0.12827003747224808
DE,168,0.03925288841128349,0.19811931997537613,0.13390253484249115
ES,24,0.009763441979885101,0.098810113966465,0.05924960598349571
ES,96,0.01853451132774353,0.13614150136709213,0.08610954135656357
ES,168,0.020719829946756363,0.14394310861825943,0.09158343076705933
FR,24,0.009992910549044609,0.09996417164802551,0.05484057031571865
FR,96,0.01931854523718357,0.13898950815200806,0.08082952350378036
FR,168,0.021326196379959583,0.1460317000746727,0.08678213879466057
GB,24,0.02502250298857689,0.15818502753973007,0.09956395998597145
GB,96,0.04183928109705448,0.20454540848731995,0.1395258828997612
GB,168,0.04472936503589153,0.21149293333292007,0.14684680849313736
IT,24,0.010076254606246948,0.1003805436193943,0.05665339343249798
IT,96,0.018795919604599476,0.1370975524187088,0.08072814345359802
IT,168,0.02098043914884329,0.14484574645757675,0.0871933102607727
