Model,,PatchTST/64,PatchTST/64,PatchTST/64
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021022708155214787,0.14499157667160034,0.0880008339881897
DE,96,0.03586380369961262,0.18937628716230392,0.12499568611383438
DE,168,0.038753362372517586,0.19683997333049774,0.1326594427227974
ES,24,0.009859288576990366,0.09929395094513893,0.05972982384264469
ES,96,0.01896701008081436,0.1377207413315773,0.0879131443798542
ES,168,0.021329830400645733,0.14604733139276505,0.09520434588193893
FR,24,0.010049448348581791,0.1002468578517437,0.05521092750132084
FR,96,0.019739528186619282,0.14049633592367172,0.0810605138540268
FR,168,0.022202939726412296,0.14900606870651245,0.08759617805480957
GB,24,0.024638825096189976,0.15696757286787033,0.09895651042461395
GB,96,0.04109554924070835,0.20270898193120956,0.13895933330059052
GB,168,0.043468963354825974,0.2084866464138031,0.14491785317659378
IT,24,0.010102429892867804,0.10051079839468002,0.05727566033601761
IT,96,0.019056853838264942,0.13802383095026016,0.08266669884324074
IT,168,0.020199360325932503,0.1421244516968727,0.0877174623310566
