Model,,CM,CM,CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02149373199790716,0.14660681784152985,0.09195194765925407
DE,96,0.04182994179427624,0.20449389517307281,0.13448451459407806
DE,168,0.046141596511006355,0.2147853523492813,0.14280138164758682
ES,24,0.009933989029377699,0.09966938570141792,0.06125935725867748
ES,96,0.019177407957613468,0.13848210126161575,0.0908307395875454
ES,168,0.021811540238559246,0.14768704026937485,0.09778525307774544
FR,24,0.010311990976333618,0.1015462689101696,0.056865546852350235
FR,96,0.020889864303171635,0.14447719603776932,0.08401912078261375
FR,168,0.02130555547773838,0.145960234105587,0.08860385790467262
GB,24,0.025148619897663593,0.15858209878206253,0.10151615738868713
GB,96,0.04280082508921623,0.20688340812921524,0.14112892746925354
GB,168,0.050050804391503334,0.22365503013134003,0.15108245611190796
IT,24,0.01034371042624116,0.10170402377843857,0.05846094712615013
IT,96,0.018261350691318512,0.1351335644721985,0.08209417760372162
IT,168,0.01997595001012087,0.14133629202842712,0.08802716061472893
