Model,,CM,CM,CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.026427114382386208,0.16255264729261398,0.10545914247632027
DE,96,0.04179954156279564,0.20444849133491516,0.1408012956380844
DE,168,0.042981309816241264,0.20731373876333237,0.14285899698734283
ES,24,0.011468302458524704,0.10708843171596527,0.06772445514798164
ES,96,0.021571571938693523,0.14686907827854156,0.09698715806007385
ES,168,0.023645374923944473,0.15376898646354675,0.10341181233525276
FR,24,0.011909410823136568,0.10911916196346283,0.06244498863816261
FR,96,0.020795769058167934,0.1442050114274025,0.0860665887594223
FR,168,0.02289405930787325,0.15130459517240524,0.09182935580611229
GB,24,0.028876040130853653,0.16992684453725815,0.1118185743689537
GB,96,0.04463851824402809,0.2112782970070839,0.14660274982452393
GB,168,0.04719138517975807,0.2172357439994812,0.15203333646059036
IT,24,0.011325145605951548,0.10641853883862495,0.06335784867405891
IT,96,0.019794379360973835,0.14068616926670074,0.08700140565633774
IT,168,0.02085904125124216,0.14442479610443115,0.09107068181037903
