Model,,Decomposition,Decomposition,Decomposition
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02126377262175083,0.1458209976553917,0.08907932043075562
DE,96,0.036332935094833374,0.19061200320720673,0.1269107535481453
DE,168,0.039539504796266556,0.19884541630744934,0.13473889976739883
ES,24,0.009815647266805172,0.09907393902540207,0.05951278656721115
ES,96,0.01861534919589758,0.1364380642771721,0.08681349456310272
ES,168,0.021184383891522884,0.1455482915043831,0.09531861916184425
FR,24,0.01010631350800395,0.10052987188100815,0.05523219145834446
FR,96,0.019574924372136593,0.1399102509021759,0.08171151205897331
FR,168,0.021513327956199646,0.14666908979415894,0.08896854519844055
GB,24,0.026003293693065643,0.16125532984733582,0.10253562778234482
GB,96,0.04332934878766537,0.20815635472536087,0.1418309584259987
GB,168,0.04621925950050354,0.21498601883649826,0.14875295758247375
IT,24,0.010212635155767202,0.1010575108230114,0.05716755799949169
IT,96,0.01835726946592331,0.13548873364925385,0.08044043183326721
IT,168,0.020059761591255665,0.14163171499967575,0.08579443022608757
