Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,2136431.5,1461.6536865234375,947.5726928710938,0.10271384567022324
MSE,2,24,2031066.875,1425.155029296875,935.1376953125,0.100149005651474
MSE,1,96,3882534.5,1970.414794921875,1288.4697265625,0.13866613805294037
MSE,2,96,3475395.25,1864.2412109375,1267.4959716796875,0.13119427859783173
MSE,1,168,4282493.5,2069.418701171875,1388.617919921875,0.14577020704746246
MSE,2,168,4567560.0,2137.18505859375,1427.0869140625,0.150543674826622
MAE,1,24,1555223.5,1247.0860595703125,786.8115844726562,0.08763567358255386
MAE,2,24,1826092.875,1351.330078125,822.8323974609375,0.09496114403009415
MAE,1,96,3858870.0,1964.400634765625,1243.5869140625,0.1382429003715515
MAE,2,96,3485771.25,1867.02197265625,1180.413330078125,0.13138996064662933
MAE,1,168,4175248.25,2043.3424072265625,1301.3748779296875,0.14393338561058044
MAE,2,168,4408365.5,2099.61083984375,1332.4801025390625,0.14789694547653198
