Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1800234.625,1341.728271484375,865.4649047851562,0.09428640455007553
MSE,2,24,1954150.75,1397.909423828125,902.05517578125,0.0982343927025795
MSE,1,96,4252090.5,2062.059814453125,1342.6978759765625,0.14511555433273315
MSE,2,96,3400539.25,1844.0550537109375,1237.254150390625,0.12977369129657745
MSE,1,168,4480882.5,2116.8095703125,1392.976318359375,0.149108424782753
MSE,2,168,4692489.5,2166.215576171875,1400.195068359375,0.1525885909795761
MAE,1,24,1767036.25,1329.2991943359375,813.9424438476562,0.09341298788785934
MAE,2,24,1968128.25,1402.89990234375,857.3510131835938,0.0985850915312767
MAE,1,96,3587957.25,1894.1904296875,1209.4962158203125,0.13330191373825073
MAE,2,96,3035685.0,1742.32177734375,1125.773193359375,0.1226142942905426
MAE,1,168,4198082.0,2048.922119140625,1319.8297119140625,0.14432641863822937
MAE,2,168,5321987.5,2306.943359375,1452.3974609375,0.1625014841556549
