Model,,CM,CM,CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02374105714261532,0.1540805995464325,0.09806927666068077
DE,96,0.04411116987466812,0.21002379059791565,0.13917073607444763
DE,168,0.042981309816241264,0.20731373876333237,0.14285899698734283
ES,24,0.011029690504074097,0.10502184927463531,0.06430036202073097
ES,96,0.020827907137572765,0.1443164423108101,0.09416504949331284
ES,168,0.02332977019250393,0.15273787081241608,0.10019293799996376
FR,24,0.010801306925714016,0.10392829775810242,0.058189161121845245
FR,96,0.019562519155442715,0.13985151052474976,0.08312291279435158
FR,168,0.0204329751431942,0.14293847978115082,0.08731374144554138
GB,24,0.026873216964304447,0.16392892599105835,0.1067686639726162
GB,96,0.043489011004567146,0.20854011923074722,0.14521147310733795
GB,168,0.045590393245220184,0.21351897716522217,0.14993800967931747
IT,24,0.010407592169940472,0.10201698914170265,0.05838785320520401
IT,96,0.01935798116028309,0.1391313374042511,0.08342932537198067
IT,168,0.020517423748970032,0.14323661476373672,0.08804797008633614
