Model,,Self-supervised,Self-supervised,Self-supervised
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021191815,0.1455741,0.08858061
DE,96,0.035357155,0.18803498,0.12577091
DE,168,0.03864446,0.19658194,0.13241957
GB,24,0.02488977,0.15776493,0.100438796
GB,96,0.040732216,0.20182224,0.13796186
GB,168,0.043144267,0.20771198,0.14468934
ES,24,0.009534925,0.097646944,0.058911376
ES,96,0.018523905,0.13610256,0.085604765
ES,168,0.020924466,0.14465292,0.092324935
FR,24,0.010063927,0.100319125,0.054161604
FR,96,0.019241532,0.13871385,0.07879916
FR,168,0.021604039,0.14698312,0.085432924
IT,24,0.0100852605,0.1004254,0.05752186
IT,96,0.01823323,0.13503048,0.08098603
IT,168,0.019676596,0.14027329,0.08526979
