Model,,PatchTST/21,PatchTST/21,PatchTST/21
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021197513677179813,0.14559356123209,0.08824498951435089
DE,96,0.03717471659183502,0.19280733913183212,0.12645041197538376
DE,168,0.04081788845360279,0.20203068107366562,0.13438505679368973
ES,24,0.009829005692154169,0.09914132580161095,0.059084972366690636
ES,96,0.019094753079116344,0.13818375021219254,0.08609762787818909
ES,168,0.021458346396684647,0.1464865282177925,0.09267221763730049
FR,24,0.009967760648578405,0.09983863309025764,0.05439559556543827
FR,96,0.019172079861164093,0.1384628340601921,0.07890044525265694
FR,168,0.02103652898222208,0.14503974467515945,0.08559107780456543
GB,24,0.025358243845403194,0.1592424139380455,0.10012238845229149
GB,96,0.045516228303313255,0.21334218233823776,0.1443081572651863
GB,168,0.04859461449086666,0.22044185549020767,0.15079675614833832
IT,24,0.01000363240018487,0.10001814737915993,0.05658876709640026
IT,96,0.018277062103152275,0.13519187271595,0.07892468571662903
IT,168,0.019900327548384666,0.14106842875480652,0.08446025103330612
