Model,,CM,CM,CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02374105714261532,0.1540805995464325,0.09806927666068077
DE,96,0.04411116987466812,0.21002379059791565,0.13917073607444763
DE,168,0.04868887737393379,0.22065387666225433,0.14770662039518356
ES,24,0.011166726239025593,0.1056700274348259,0.06512780487537384
ES,96,0.020827907137572765,0.1443164423108101,0.09416504949331284
ES,168,0.02332977019250393,0.15273787081241608,0.10019293799996376
GB,24,0.026873216964304447,0.16392892599105835,0.1067686639726162
GB,96,0.04879746772348881,0.2208598554134369,0.148784302175045
GB,168,0.05210377462208271,0.22826147079467773,0.153274305164814
