Model,,CM,CM,CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.026427114382386208,0.16255264729261398,0.10545914247632027
DE,96,0.04480905644595623,0.21167992800474167,0.14468824118375778
DE,168,0.04426838457584381,0.21039722114801407,0.14410334825515747
ES,24,0.011468302458524704,0.10708843171596527,0.06772445514798164
ES,96,0.021571571938693523,0.14686907827854156,0.09698715806007385
ES,168,0.023645374923944473,0.15376898646354675,0.10341181233525276
FR,24,0.010801306925714016,0.10392829775810242,0.058189161121845245
FR,96,0.019562519155442715,0.13985151052474976,0.08312291279435158
FR,168,0.0204329751431942,0.14293847978115082,0.08731374144554138
GB,24,0.028874926269054413,0.16992580145597458,0.1153801903128624
GB,96,0.043489011004567146,0.20854011923074722,0.14521147310733795
GB,168,0.045590393245220184,0.21351897716522217,0.14993800967931747
IT,24,0.010407592169940472,0.10201698914170265,0.05838785320520401
IT,96,0.01935798116028309,0.1391313374042511,0.08342932537198067
IT,168,0.020517423748970032,0.14323661476373672,0.08804797008633614
