Model,,-RevIN,-RevIN,-RevIN
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021700154058635235,0.14730963110923767,0.09139850363135338
DE,96,0.03784305602312088,0.19451744854450226,0.12986892461776733
DE,168,0.04593707248568535,0.21430560946464539,0.14113321900367737
ES,24,0.012761266436427832,0.1129654198884964,0.07284212112426758
ES,96,0.03301662113517523,0.18007701635360718,0.11383486166596413
ES,168,0.030589938163757324,0.1748475283384323,0.11649062484502792
FR,24,0.011140774004161358,0.105549156665802,0.06098064407706261
FR,96,0.02043125033378601,0.1429378166794777,0.08357207849621773
FR,168,0.023099702782928944,0.1519845649600029,0.08992260694503784
GB,24,0.025859571993350983,0.16080448031425476,0.10382122173905373
GB,96,0.043225258588790894,0.20790590345859528,0.14334317296743393
GB,168,0.04781227745115757,0.21857967972755432,0.1504650115966797
IT,24,0.010861861519515514,0.10422012209892273,0.0625873003154993
IT,96,0.018640884198248386,0.13652952015399933,0.08367307111620903
IT,168,0.019902163185179234,0.14107491821050644,0.08771666139364243
