train_loss,valid_loss
0.995717,0.947108
0.957525,0.942343
0.947608,0.937859
0.942203,0.938426
0.939273,0.935029
0.937309,0.932724
0.936536,0.933859
0.934752,0.933017
0.933799,0.933260
0.932882,0.933890
0.932050,0.931731
0.931916,0.932360
0.931325,0.931313
0.931307,0.932208
0.816352,0.700925
0.717077,0.689621
0.709359,0.685040
0.705648,0.685038
0.703360,0.684581
0.701766,0.683649
0.698815,0.677486
0.656634,0.621946
0.601027,0.562551
0.505852,0.401448
0.427021,0.379933
0.402496,0.372874
0.388394,0.370288
0.377668,0.362729
0.369502,0.357316
0.362337,0.354040
0.354806,0.335442
0.313110,0.251261
0.277064,0.241341
0.261566,0.237432
0.252305,0.234183
0.244864,0.231551
0.240317,0.229277
0.235734,0.228721
0.232176,0.223943
0.229078,0.225059
0.226345,0.226454
0.223976,0.220927
0.221394,0.223267
0.219314,0.219961
0.217560,0.220647
0.213944,0.222163
0.210680,0.219975
0.208245,0.221358
0.205663,0.219338
0.204285,0.220126
0.202509,0.222493
0.201147,0.222546
0.199651,0.222875
0.198644,0.221360
0.197361,0.226957
