train_loss,valid_loss
0.959675,0.901432
0.906642,0.888572
0.889131,0.883623
0.881382,0.879833
0.876183,0.878416
0.872437,0.878120
0.870993,0.877692
0.868498,0.875666
0.867715,0.876762
0.865525,0.874477
0.864965,0.874754
0.864361,0.873649
0.863195,0.873363
0.863664,0.873691
0.634622,0.445016
0.477598,0.429734
0.466770,0.427962
0.460934,0.423693
0.457620,0.423306
0.455942,0.420885
0.452120,0.386852
0.402889,0.333402
0.330489,0.226732
0.276763,0.214336
0.262341,0.208926
0.254994,0.202183
0.248311,0.201606
0.229436,0.163075
0.208076,0.149078
0.197636,0.144800
0.189221,0.138558
0.181764,0.135765
0.176287,0.130427
0.171566,0.131045
0.168228,0.125312
0.164039,0.121940
0.160693,0.119913
0.157042,0.117321
0.153194,0.116477
0.150547,0.112454
0.146879,0.111756
0.144466,0.105809
0.141895,0.108074
0.139967,0.105550
0.138643,0.104920
0.136853,0.105247
0.135106,0.104030
0.134220,0.104590
0.132884,0.102834
0.132261,0.101410
0.131420,0.103289
0.130531,0.102858
0.129701,0.101731
0.129266,0.101854
0.128099,0.100375
0.127448,0.102902
0.127391,0.100648
0.126479,0.100581
0.126416,0.099501
0.125470,0.098755
0.125029,0.099496
0.124975,0.100856
0.124493,0.100775
0.123762,0.101330
0.123577,0.101284
0.123249,0.100732
