train_loss,valid_loss
0.952834,0.850395
0.866858,0.834006
0.845533,0.826152
0.831242,0.814733
0.820016,0.812899
0.813634,0.808445
0.809315,0.804537
0.805690,0.800829
0.803455,0.806646
0.800226,0.798714
0.799385,0.802635
0.796097,0.800323
0.796697,0.799810
0.796384,0.798368
0.794546,0.798069
0.680797,0.453863
0.485852,0.438416
0.468294,0.423214
0.459313,0.418039
0.453035,0.415726
0.419504,0.336968
0.339863,0.275286
0.297498,0.250148
0.275702,0.234189
0.254332,0.192060
0.229424,0.176746
0.216090,0.175098
0.209730,0.183383
0.205291,0.164562
0.196436,0.157321
0.191863,0.155409
0.188895,0.151030
0.185506,0.151270
0.182189,0.150525
0.179380,0.145570
0.176893,0.147813
0.174196,0.140811
0.170680,0.135929
0.168580,0.134872
0.166342,0.133297
0.165228,0.133686
0.163725,0.131559
0.160910,0.131402
0.160980,0.127563
0.158609,0.129627
0.159398,0.125140
0.157829,0.127330
0.157559,0.127826
0.156680,0.122577
0.153849,0.124245
0.152540,0.124136
0.152941,0.119170
0.153266,0.123138
0.151608,0.123498
0.150723,0.123619
0.149678,0.125664
0.152353,0.122370
0.148679,0.123142
