train_loss,valid_loss
0.970048,0.935511
0.938000,0.930797
0.930717,0.926865
0.926454,0.925848
0.923121,0.922880
0.921236,0.923301
0.920006,0.923075
0.920094,0.921408
0.918159,0.922024
0.917242,0.921761
0.917163,0.919886
0.917169,0.921595
0.752440,0.661157
0.656114,0.649393
0.648844,0.646247
0.644729,0.644079
0.642039,0.641675
0.639984,0.643780
0.616294,0.559604
0.484944,0.424956
0.416808,0.352376
0.355695,0.295706
0.310128,0.286196
0.290396,0.281407
0.279315,0.272055
0.270217,0.264971
0.260723,0.257096
0.252374,0.256992
0.247422,0.255636
0.241533,0.243611
0.234077,0.239565
0.229930,0.238613
0.227546,0.237214
0.224298,0.238202
0.223100,0.240029
0.220698,0.237409
0.219692,0.238562
0.218149,0.244259
0.216609,0.240908
