train_loss,valid_loss
0.936703,0.894406
0.890093,0.882559
0.877241,0.877962
0.870770,0.878804
0.869465,0.874097
0.837191,0.506286
0.508223,0.480556
0.491542,0.477258
0.485987,0.474114
0.482991,0.473619
0.449817,0.408036
0.351875,0.253817
0.264395,0.234394
0.243518,0.217559
0.215497,0.174856
0.192396,0.162590
0.182727,0.158704
0.175371,0.151535
0.167911,0.149687
0.163208,0.146154
0.159894,0.143864
0.156973,0.142200
0.154544,0.139919
0.152962,0.142265
0.151649,0.139182
0.150476,0.138826
0.150129,0.138229
0.150059,0.139127
0.149368,0.138656
0.149582,0.138554
