train_loss,valid_loss
0.993741,0.947574
0.955797,0.941218
0.945926,0.937713
0.940079,0.936830
0.937232,0.934910
0.934770,0.933871
0.932713,0.936106
0.931911,0.934263
0.931016,0.934709
0.930747,0.932488
0.929797,0.933136
0.928897,0.932590
0.928681,0.933274
0.928092,0.934071
0.928192,0.934052
0.808573,0.675807
0.672414,0.664504
0.663825,0.660798
0.659956,0.660694
0.657454,0.658093
0.655985,0.658064
0.654312,0.656303
0.654032,0.658437
0.653092,0.657226
0.651883,0.656169
0.635193,0.611927
0.579705,0.533431
0.471089,0.405179
0.408865,0.386387
0.389971,0.380710
0.380546,0.374969
0.374104,0.371805
0.369404,0.370159
0.365640,0.368511
0.362820,0.365476
0.360488,0.364152
0.357853,0.363801
0.355813,0.361348
0.353955,0.357610
0.351850,0.357705
0.350001,0.352071
0.335856,0.285554
0.284122,0.271163
0.269469,0.264707
0.261975,0.260229
0.254954,0.252671
0.248326,0.251229
0.244539,0.249287
0.240498,0.246609
0.237641,0.245719
0.235301,0.246965
0.233595,0.245193
0.231697,0.247113
0.229809,0.244951
0.228615,0.243917
0.227371,0.243711
0.226291,0.244337
0.225271,0.245032
0.224483,0.244883
0.223875,0.244507
0.223056,0.244049
0.222179,0.244634
