train_loss,valid_loss
0.997081,0.975948
0.978563,0.974731
0.977754,0.973480
0.975427,0.973846
0.975080,0.972621
0.973945,0.972328
0.974036,0.972699
0.973649,0.973966
0.973041,0.971696
0.973100,0.972258
0.972890,0.972291
0.808381,0.679394
0.656669,0.559782
0.492950,0.368463
0.361585,0.248715
0.275549,0.207103
0.227607,0.181427
0.197908,0.163929
0.181354,0.155285
0.171732,0.153101
0.165114,0.151160
0.160832,0.148228
0.157236,0.152542
0.153390,0.150571
0.150789,0.156227
0.148062,0.152206
0.145581,0.144825
0.144289,0.156548
0.142020,0.157310
0.140888,0.162515
0.139680,0.157890
0.137955,0.164377
0.136801,0.167765
