train_loss,valid_loss
1.000327,0.967506
0.976263,0.962787
0.969908,0.961337
0.967561,0.961804
0.965117,0.963127
0.966651,0.960289
0.964362,0.959211
0.963216,0.959362
0.962942,0.958909
0.962741,0.960675
0.962544,0.960698
0.787517,0.467303
0.503924,0.442803
0.481155,0.435273
0.471262,0.430014
0.465560,0.428172
0.460358,0.424767
0.458141,0.422630
0.455004,0.420653
0.448369,0.375325
0.373099,0.270572
0.250004,0.150942
0.197959,0.137281
0.177717,0.125715
0.166510,0.121268
0.157085,0.110800
0.146296,0.097068
0.131800,0.084536
0.120849,0.081844
0.113994,0.077989
0.108744,0.074471
0.105374,0.077118
0.102565,0.073286
0.100029,0.070270
0.097699,0.070506
0.095952,0.071899
0.094709,0.071076
0.093051,0.076855
0.092622,0.067713
0.090813,0.071564
0.089906,0.072158
0.088717,0.069548
0.088057,0.070339
0.087403,0.073048
0.086838,0.075831
