train_loss,valid_loss
0.982106,0.939466
0.948621,0.935985
0.943720,0.933486
0.939804,0.932559
0.937533,0.931580
0.935755,0.931468
0.935514,0.935352
0.934148,0.930309
0.933808,0.931873
0.932838,0.929995
0.932005,0.929073
0.929951,0.928602
0.854053,0.494097
0.488007,0.437136
0.451309,0.417736
0.330868,0.192833
0.222812,0.162072
0.197055,0.151234
0.182791,0.139564
0.172247,0.137789
0.163540,0.132875
0.156005,0.127556
0.149756,0.123112
0.143589,0.121644
0.136483,0.116783
0.130077,0.105933
0.124268,0.105339
0.120795,0.103884
0.118189,0.115673
0.117319,0.102249
0.113700,0.099548
0.110979,0.099046
0.109683,0.092485
0.108157,0.100994
0.106907,0.097658
0.106505,0.095676
0.105704,0.094236
0.103694,0.102289
0.103171,0.094653
