train_loss,valid_loss
0.957733,0.930474
0.932026,0.925726
0.927468,0.924575
0.924071,0.923211
0.921982,0.921327
0.920565,0.922197
0.919878,0.918958
0.919491,0.919630
0.919603,0.919515
0.810800,0.683244
0.694817,0.670783
0.687100,0.666390
0.664675,0.603615
0.531063,0.422977
0.433515,0.375508
0.395378,0.366504
0.375418,0.350550
0.344663,0.255799
0.270745,0.233607
0.243748,0.230358
0.229489,0.227596
0.220846,0.223266
0.214165,0.222627
0.209595,0.228988
0.205603,0.224596
0.202423,0.220757
0.199481,0.217243
0.196108,0.220847
0.193142,0.225947
0.190078,0.236197
0.188438,0.231111
0.186869,0.232829
0.185329,0.221510
