train_loss,valid_loss
0.943367,0.893587
0.896245,0.884440
0.881824,0.882842
0.878061,0.879719
0.872864,0.878534
0.870081,0.877702
0.868478,0.875234
0.867013,0.877061
0.866424,0.875138
0.865270,0.875942
0.864122,0.875566
0.862611,0.874563
0.836825,0.483559
0.491901,0.431705
0.468725,0.427143
0.461618,0.422391
0.457847,0.423769
0.455701,0.421325
0.453367,0.419947
0.406097,0.324061
0.355948,0.243608
0.286761,0.217381
0.260929,0.208876
0.246870,0.192345
0.214105,0.155713
0.193732,0.142919
0.183237,0.135521
0.174613,0.130129
0.166975,0.123701
0.161155,0.117607
0.156014,0.116574
0.152349,0.116042
0.148555,0.111619
0.146274,0.108042
0.143157,0.106747
0.140999,0.106309
0.139539,0.107585
0.137800,0.107444
0.135794,0.103833
0.134528,0.105612
0.133391,0.102047
0.132069,0.099148
0.131028,0.100803
0.129916,0.099415
0.129260,0.099436
0.128005,0.099289
0.127226,0.102313
0.126596,0.099653
