train_loss,valid_loss
0.956745,0.863323
0.873086,0.839417
0.852446,0.830085
0.841919,0.828754
0.833297,0.828011
0.827418,0.820129
0.823578,0.824875
0.819938,0.820589
0.817867,0.814783
0.815111,0.819950
0.813763,0.814638
0.812652,0.816253
0.804666,0.647660
0.510387,0.432941
0.457590,0.420259
0.445063,0.414020
0.439284,0.410487
0.432246,0.407617
0.429898,0.406117
0.425982,0.402087
0.407437,0.333901
0.297400,0.235483
0.260343,0.219639
0.244691,0.205616
0.221994,0.170098
0.202311,0.163063
0.194559,0.153604
0.187585,0.153013
0.182783,0.153028
0.177768,0.149621
0.173526,0.151549
0.170331,0.146958
0.167036,0.144771
0.163500,0.141196
0.161762,0.139717
0.159180,0.143401
0.157315,0.135820
0.153911,0.134251
0.152451,0.133456
0.151343,0.132974
0.148404,0.129405
0.146614,0.133585
0.145526,0.126174
0.144433,0.125824
0.143057,0.125587
0.142097,0.127696
0.142236,0.124223
0.140479,0.125173
0.139331,0.124682
0.137712,0.123632
0.138121,0.121877
0.136868,0.122186
0.136067,0.122082
0.135538,0.125817
0.136152,0.120189
0.134169,0.119338
0.134349,0.120527
0.133300,0.119349
0.132145,0.121348
0.132547,0.119852
0.131610,0.119795
0.130723,0.120826
